Gene stable ID	Gene stable ID version	Gene name	Gene start (bp)	Gene end (bp)
ENSG00000280279	ENSG00000280279.1	AC240565.2	64099	76866
ENSG00000280136	ENSG00000280136.2	AC240565.1	88641	118578
ENSG00000277613	ENSG00000277613.1	U6	90796	90899
ENSG00000268320	ENSG00000268320.4	SCGB1C2	137569	139067
ENSG00000272636	ENSG00000272636.4	DOC2B	142789	181650
ENSG00000273172	ENSG00000273172.1	LINC02091	183824	191587
ENSG00000181031	ENSG00000181031.16	RPH3AL	212389	386254
ENSG00000262920	ENSG00000262920.5	AC129507.4	321392	322453
ENSG00000262061	ENSG00000262061.6	AC129507.1	331205	333488
ENSG00000262294	ENSG00000262294.1	AC129507.2	352638	357581
ENSG00000262558	ENSG00000262558.1	AC129507.3	354737	356882
ENSG00000241525	ENSG00000241525.4	AC141424.1	404468	414023
ENSG00000187624	ENSG00000187624.9	C17orf97	410325	431062
ENSG00000183688	ENSG00000183688.4	RFLNB	439978	445939
ENSG00000263015	ENSG00000263015.1	AC015853.2	503171	511347
ENSG00000141252	ENSG00000141252.20	VPS53	508668	721717
ENSG00000263300	ENSG00000263300.1	AC015853.3	523140	540576
ENSG00000262905	ENSG00000262905.1	AC015853.1	552566	553417
ENSG00000262708	ENSG00000262708.1	AC027455.1	616002	616595
ENSG00000244097	ENSG00000244097.1	RPS4XP17	656794	657547
ENSG00000167695	ENSG00000167695.15	TLCD3A	732412	742968
ENSG00000179409	ENSG00000179409.11	GEMIN4	744421	753999
ENSG00000231784	ENSG00000231784.8	DBIL5P	752660	755336
ENSG00000167699	ENSG00000167699.13	GLOD4	757097	783390
ENSG00000262228	ENSG00000262228.2	AC087392.3	763565	765319
ENSG00000171861	ENSG00000171861.11	MRM3	782353	792509
ENSG00000262434	ENSG00000262434.1	AC087392.4	789744	790525
ENSG00000277491	ENSG00000277491.1	AC087392.5	795306	795794
ENSG00000167693	ENSG00000167693.17	NXN	799310	979776
ENSG00000262133	ENSG00000262133.1	AC087392.2	877902	880093
ENSG00000262003	ENSG00000262003.1	AC087392.1	909632	911212
ENSG00000263017	ENSG00000263017.1	AC036164.1	959034	959366
ENSG00000177370	ENSG00000177370.5	TIMM22	997129	1003671
ENSG00000159842	ENSG00000159842.15	ABR	1003518	1229738
ENSG00000264429	ENSG00000264429.1	MIR3183	1022476	1022559
ENSG00000275997	ENSG00000275997.1	AC016292.2	1155966	1156175
ENSG00000235361	ENSG00000235361.1	AC016292.1	1181893	1185086
ENSG00000262213	ENSG00000262213.1	AC144836.1	1241939	1254000
ENSG00000205899	ENSG00000205899.4	BHLHA9	1270444	1271815
ENSG00000184811	ENSG00000184811.4	TRARG1	1279662	1300978
ENSG00000108953	ENSG00000108953.17	YWHAE	1344275	1400222
ENSG00000280408	ENSG00000280408.1	AC032044.2	1352070	1352255
ENSG00000167193	ENSG00000167193.8	CRK	1420689	1463162
ENSG00000262777	ENSG00000262777.1	AC032044.1	1424473	1426484
ENSG00000197879	ENSG00000197879.17	MYO1C	1464186	1492686
ENSG00000132376	ENSG00000132376.20	INPP5K	1494577	1516742
ENSG00000236618	ENSG00000236618.2	PITPNA-AS1	1516931	1518096
ENSG00000174238	ENSG00000174238.15	PITPNA	1517718	1562792
ENSG00000167703	ENSG00000167703.15	SLC43A2	1569268	1628886
ENSG00000243704	ENSG00000243704.3	RN7SL105P	1604374	1604672
ENSG00000074660	ENSG00000074660.16	SCARF1	1633858	1645744
ENSG00000167705	ENSG00000167705.12	RILP	1646145	1649866
ENSG00000174231	ENSG00000174231.17	PRPF8	1650629	1684867
ENSG00000277597	ENSG00000277597.1	AC130343.2	1684726	1685151
ENSG00000185561	ENSG00000185561.10	TLCD2	1702816	1710377
ENSG00000186594	ENSG00000186594.14	MIR22HG	1711493	1717174
ENSG00000283824	ENSG00000283824.1	MIR22	1713903	1713987
ENSG00000167716	ENSG00000167716.19	WDR81	1716523	1738599
ENSG00000262791	ENSG00000262791.1	AC130343.1	1725748	1738585
ENSG00000167711	ENSG00000167711.14	SERPINF2	1742836	1755265
ENSG00000132386	ENSG00000132386.11	SERPINF1	1762029	1777565
ENSG00000186532	ENSG00000186532.12	SMYD4	1779485	1830634
ENSG00000132383	ENSG00000132383.12	RPA1	1829702	1900082
